Date,Close
1/3/2017,76.98
1/4/2017,78.24
1/5/2017,78.05
1/6/2017,78.89
1/9/2017,78.04
1/10/2017,77.65
1/11/2017,77.39
1/12/2017,77.05
1/13/2017,77.37
1/17/2017,78.7
1/18/2017,79.46
1/19/2017,79.15
1/20/2017,79.79
1/23/2017,80.07
1/24/2017,80.03
1/25/2017,79.88
1/26/2017,79.56
1/27/2017,79.81
1/30/2017,79.6
1/31/2017,79.42
2/1/2017,79.02
2/2/2017,79.06
2/3/2017,79.4
2/6/2017,79.35
2/7/2017,77.3
2/8/2017,79.84
2/9/2017,80.75
2/10/2017,80.46
2/13/2017,80.91
2/14/2017,80.5
2/15/2017,81.41
2/16/2017,81.72
2/17/2017,82.05
2/21/2017,82.17
2/22/2017,82.82
2/23/2017,83.09
2/24/2017,83.84
2/27/2017,82.63
2/28/2017,82.27
3/1/2017,83.02
3/2/2017,82.27
3/3/2017,82.95
3/6/2017,82.7
3/7/2017,82.64
3/8/2017,82.22
3/9/2017,81.98
3/10/2017,82.23
3/13/2017,82.72
3/14/2017,82.46
3/15/2017,82.52
3/16/2017,81.95
3/17/2017,81.83
3/20/2017,81.02
3/21/2017,80.05
3/22/2017,79.9
3/23/2017,79.82
3/24/2017,80.12
3/27/2017,80.41
3/28/2017,80.29
3/29/2017,80.03
3/30/2017,80.05
3/31/2017,79.62
4/3/2017,79.44
4/4/2017,79.13
4/5/2017,79.5
4/6/2017,79.6
4/7/2017,79.87
4/10/2017,80.54
4/11/2017,80.08
4/12/2017,80.52
4/13/2017,80.16
4/17/2017,80.63
4/18/2017,80.75
4/19/2017,80.65
4/20/2017,81.57
4/21/2017,82.53
4/24/2017,83.32
4/25/2017,83.86
4/26/2017,83.88
4/27/2017,84.09
4/28/2017,84.19
5/1/2017,84.42
5/2/2017,83.26
5/3/2017,82.98
5/4/2017,83.52
5/5/2017,83.05
5/8/2017,83.34
5/9/2017,83.15
5/10/2017,83.58
5/11/2017,83.6
5/12/2017,83.11
5/15/2017,83.41
5/16/2017,83.78
5/17/2017,82.85
5/18/2017,82.81
5/19/2017,83.2
5/22/2017,84.03
5/23/2017,83.66
5/24/2017,83.95
5/25/2017,85.36
5/26/2017,85.28
5/30/2017,85.29
5/31/2017,85.87
6/1/2017,86.77
6/2/2017,86.67
6/5/2017,86.55
6/6/2017,86.25
6/7/2017,86.55
6/8/2017,85.29
6/9/2017,84.61
6/12/2017,84.93
6/13/2017,85.74
6/14/2017,85.73
6/15/2017,86.03
6/16/2017,85.19
